Position vector (('Age', 'StudyTimeWeekly', 'GPA')):
[17.0, 19.83372280785472, 2.929195591667681]
[18.0, 15.40875605584674, 3.042914833436377]
[15.0, 4.21056976881226, 0.1126022544661815]
[17.0, 10.028829473958217, 2.0542181397029484]
[17.0, 4.6724952729713305, 1.2880611817953875]
[18.0, 8.191218545250186, 3.0841836144863937]
[15.0, 15.601680474699297, 2.748237414891583]
[15.0, 15.424496305808074, 1.360142712316461]
[17.0, 4.562007558047703, 2.896819189513569]
[16.0, 18.4444663630972, 3.5734742103297656]
[17.0, 11.851363655296536, 2.1471716250185144]
[17.0, 7.59848581924029, 1.5595945190402771]
[17.0, 10.038711615617212, 1.520077814874808]
[17.0, 12.101425068754876, 1.7515809583340785]
[18.0, 11.197810636915708, 2.396788117124796]
[15.0, 9.728100710723565, 1.3415207165346672]
[18.0, 10.098656081788002, 2.232175277715976]
[18.0, 3.5282382085577235, 1.3844041756940335]
[18.0, 16.25465808609359, 0.4695533233798704]
[17.0, 10.835206398820308, 2.3957840945307]
[16.0, 2.621597234094062, 2.778411299920653]
[15.0, 15.32314203165556, 0.3468940367050148]
[16.0, 18.648879567547016, 0.3125462305253549]
[18.0, 18.94613798473924, 1.7701318767799732]
[18.0, 7.380354648223455, 1.5051556220362858]
[16.0, 2.7103374712150807, 2.977851918315743]
[16.0, 10.367992532661304, 2.948717671911921]
[16.0, 2.2521845869844137, 2.145204720467192]
[18.0, 18.679748370252344, 2.854803928981318]
[18.0, 3.67159254710292, 1.519441725815139]
[15.0, 5.055317199023282, 1.727120309522409]
[15.0, 8.132730537699409, 1.8475354711387904]
[18.0, 7.663289371182516, 0.3846169728564877]
[16.0, 15.89325784795778, 0.94940609779728]
[16.0, 9.126336411019247, 1.1409594184203395]
[15.0, 3.415365200066738, 0.2614722600507521]
[18.0, 5.344197909721482, 0.2182848568210317]
[15.0, 10.18226770375044, 1.0677635510419796]
[15.0, 2.949078348522698, 3.0189058584279675]
[17.0, 12.233113512920282, 1.5268678317927231]
[17.0, 11.314946131022918, 1.0582873996898603]
[17.0, 14.294046327645152, 2.625128097732231]
[16.0, 18.75409230758736, 2.8087548220286536]
[18.0, 18.24509122202312, 2.888891669272444]
[18.0, 18.921512361376628, 4.0]
[18.0, 4.894311940474019, 2.515300272256249]
[18.0, 2.6313061327870924, 2.5637654300150947]
[17.0, 6.04553400992897, 1.7036118032323682]
[16.0, 17.90170345532629, 2.0998851567205854]
[16.0, 19.441069492469765, 2.4610469629080955]
[17.0, 17.18649902140952, 2.935477191694632]
[16.0, 2.200354422550872, 1.9863780592187463]
[17.0, 18.948559961195865, 1.5715441913992825]
[18.0, 8.46716054701572, 1.6643106896610833]
[17.0, 0.1862058152470735, 0.7562591665741925]
[18.0, 8.847874814963872, 0.8027695392342074]
[18.0, 0.9213833935093518, 1.3423871779577343]
[15.0, 10.87755842322235, 0.2865712882866222]
[17.0, 6.771080548741026, 2.61383869367367]
[15.0, 9.468698671880976, 0.9290125546259368]
[17.0, 12.26340721486234, 1.892758695926592]
[17.0, 17.376021916356407, 2.331261549308754]
[15.0, 13.238031529438572, 2.234238472600233]
[15.0, 8.680977369563614, 2.3858282190764624]
[17.0, 16.388557073407302, 3.347356743507809]
[16.0, 18.111642751462643, 3.2618553073332905]
[18.0, 2.3951993286439444, 1.0396238791477144]
[15.0, 10.638659551055827, 0.0278186247324679]
[18.0, 5.690239194848883, 1.3299645378768772]
[16.0, 0.941223957538948, 3.283916521897384]
[16.0, 13.370933902279706, 2.937454182316864]
[16.0, 17.255415549184512, 0.7388682028052602]
[15.0, 3.258053089547881, 2.556801662833417]
[16.0, 16.24827315247801, 3.300928568970799]
[15.0, 17.067914670738833, 2.200682946560561]
[16.0, 18.28680885332967, 1.8558655731681928]
[18.0, 5.305701781721048, 2.734401494419992]
[18.0, 18.079061303797783, 2.1317372971872284]
[17.0, 6.413255094728645, 0.9797699107752862]
[18.0, 11.046760269110056, 0.994325023551287]
[17.0, 1.0101494166456426, 2.0746999767813343]
[18.0, 0.8776217673748721, 0.500508035804656]
[15.0, 14.407464254644058, 2.532438417587673]
[18.0, 8.88959955955582, 1.4633780357856976]
[17.0, 5.125847507384352, 2.342836773191855]
[17.0, 3.808269920498204, 1.1588463344506037]
[16.0, 13.399069817184362, 1.5237487447337323]
[15.0, 0.0080308805067974, 0.0]
[18.0, 16.117823383937086, 1.0586220144439875]
[16.0, 1.5849921225985764, 2.2297401841747666]
[18.0, 3.829792298162389, 0.1947432807455151]
[18.0, 7.724727905981792, 3.5069200713692137]
[16.0, 9.697174794322072, 3.552286943350944]
[16.0, 7.099902316278836, 2.23849135429023]
[16.0, 6.414243299685878, 2.7084723438568763]
[16.0, 19.278320241463767, 0.7329082339013866]
[16.0, 12.831593624867883, 0.9654824453045304]
[18.0, 0.4686591073477641, 2.5552328599380942]
[16.0, 8.603518168886264, 0.7443222999212357]
[15.0, 17.500173994879404, 0.7220565813951911]
[17.0, 6.029123728213359, 1.2712295298373406]
[16.0, 1.8911268954877647, 2.52614214142023]
[16.0, 15.167695431798355, 0.9424153953595232]
[18.0, 12.120276638721624, 1.515639098395023]
[16.0, 11.406250156530078, 0.6482739267081915]
[16.0, 1.0715311921481585, 2.0488500821388604]
[16.0, 2.8099801959103465, 0.8422959992571388]
[18.0, 12.450987924262275, 1.4641879236906472]
[16.0, 4.156476829176716, 1.487946865169799]
[17.0, 10.081401594968488, 2.587565796370635]
[18.0, 10.89763372058787, 3.2208069781948727]
[17.0, 5.670143805418788, 3.5451594318003106]
[18.0, 18.968503110829857, 3.089598953074648]
[16.0, 16.8492821367115, 1.919956439918208]
[17.0, 14.44747015265597, 2.198593184586961]
[18.0, 1.5598773281881817, 0.8782126167627767]
[15.0, 2.122600386180389, 1.340368647512407]
[16.0, 9.855626917299114, 1.8195113357139088]
[18.0, 3.214266983819713, 0.6193509314675341]
[15.0, 19.56530927058948, 3.619460869693516]
[18.0, 3.170404680548189, 2.17490279620988]
[15.0, 9.74935670927948, 2.974406014911044]
[16.0, 7.282421136830108, 0.9807358437488028]
[17.0, 12.78772842908196, 3.101673809015105]
[15.0, 2.5807281777884983, 3.4982573417733205]
[18.0, 8.606328560847817, 2.590553445052984]
[16.0, 5.494100656142873, 3.5350037581843186]
[15.0, 17.75503049343376, 2.8199217452931866]
[18.0, 0.8117142426939017, 2.0165967745176614]
[18.0, 18.274549880129182, 1.3711850388917164]
[18.0, 16.65988277106001, 2.1047955879699045]
[15.0, 5.951414328816309, 3.030439088696523]
[15.0, 15.785813093542094, 3.58242187231196]
[15.0, 0.6242712067749512, 2.4265467060392454]
[17.0, 19.33731100586787, 3.161436270258364]
[15.0, 10.531898851795788, 2.122638529628868]
[15.0, 6.065620521308905, 2.204860580997317]
[15.0, 7.251664251893541, 1.182987500498048]
[17.0, 1.3281070692099473, 2.7387957163436]
[15.0, 19.786990280840783, 2.2379013009826028]
[18.0, 0.7858389030138491, 3.139481546380388]
[15.0, 13.09814246295718, 1.0460447710800969]
[18.0, 8.854718554129166, 0.8164582452137992]
[18.0, 18.978324363774306, 2.03354462052118]
[18.0, 4.919994806135904, 2.432078522782237]
[17.0, 10.641736478760226, 2.6597713195279016]
[17.0, 9.64712417165506, 3.588887939765012]
[17.0, 14.057328881002029, 2.3145876278110027]
[15.0, 1.3602046390484102, 1.00722582021403]
[18.0, 3.875782600467097, 2.8816123214605245]
[17.0, 4.291296401856997, 2.804504928911685]
[17.0, 14.763015096833794, 1.7629211240998668]
[15.0, 3.7827739265348015, 1.11991126295732]
[17.0, 11.469835277819534, 1.0306575057198797]
[15.0, 4.304876410019074, 3.0756193536614336]
[16.0, 17.232499001679567, 2.631434065124418]
[17.0, 18.84370908979277, 0.5030669073279145]
[16.0, 10.369859498844807, 2.784237837142815]
[15.0, 7.046177684183565, 0.2476267650865634]
[18.0, 4.681155500349982, 1.189548769618786]
[17.0, 0.9956200304608752, 3.37599400880284]
[15.0, 5.370001523949908, 1.293573556445951]
[18.0, 13.084715598906358, 3.7185869042869646]
[18.0, 10.672338626184215, 2.670559614819829]
[16.0, 18.880825565618547, 2.369648013449619]
[15.0, 7.925545249834012, 1.6244868202221543]
